iter	RMSE
0	0.4980548803
1	0.4973772991
2	0.4967101786
3	0.4960906179
4	0.4955180816
5	0.4950026773
6	0.494492197
7	0.494044795
8	0.4935927134
9	0.4931886419
10	0.4928094469
11	0.4924622422
12	0.4921298627
13	0.4918149963
14	0.4915394015
15	0.4912701008
16	0.4910268213
17	0.4907868016
18	0.4905668683
19	0.4903671863
20	0.4901689923
21	0.4899751372
22	0.4897931366
23	0.4896299525
24	0.4894708983
25	0.4893293418
26	0.4891949059
27	0.4890579317
28	0.4889344911
29	0.4888068509
30	0.4886919736
31	0.4885974071
32	0.4884956365
33	0.4884051417
34	0.4883104238
35	0.4882266629
36	0.4881292061
37	0.4880370198
38	0.4879519858
39	0.4878762905
40	0.4878109438
41	0.4877379791
42	0.487671061
43	0.4876058258
44	0.4875542805
45	0.4874935761
46	0.4874213942
47	0.4873490395
48	0.4872900493
49	0.4872375139
50	0.4871881876
51	0.4871353635
52	0.4870830372
53	0.4870424794
54	0.4870066652
55	0.4869586317
56	0.4869172042
57	0.4868719059
58	0.4868301031
59	0.4867937098
60	0.4867535091
61	0.4867143906
62	0.4866723732
63	0.4866225723
64	0.4865891191
65	0.4865570207
66	0.4865304483
67	0.4865031394
68	0.4864536625
69	0.4864204992
70	0.4863851838
71	0.4863517183
72	0.4863198101
73	0.486275906
74	0.4862355898
75	0.4862085737
76	0.4861790181
77	0.4861468365
78	0.4861109327
79	0.4860718606
80	0.4860496836
81	0.4860245253
82	0.4859918046
83	0.4859570091
84	0.485927586
85	0.4859032267
86	0.4858810516
87	0.4858636017
88	0.4858479479
89	0.4858287908
90	0.4858028694
91	0.4857817769
92	0.4857506149
93	0.4857232114
94	0.4856585759
95	0.4856334229
96	0.4856045024
97	0.4855867233
98	0.4855439593
99	0.4855174745
100	0.4854769862
101	0.4854412538
102	0.4854196572
103	0.4853966012
104	0.4853750206
105	0.4853422014
106	0.485276779
107	0.4852605957
108	0.4852383835
109	0.4851884126
110	0.4851322644
111	0.4851143622
112	0.4850883697
113	0.4850642745
114	0.485043628
115	0.4850294145
116	0.4849995923
117	0.4849266542
118	0.4849005069
119	0.4848714311
120	0.4848448631
121	0.4848166237
122	0.4847927896
123	0.4847789154
124	0.4847561547
125	0.4847280218
126	0.4846999368
127	0.4846715776
128	0.4846414352
129	0.4846109584
130	0.4845923077
131	0.4845719968
132	0.4845529323
133	0.4845248485
134	0.4845075448
135	0.4844962257
136	0.4844582082
137	0.4844280279
138	0.484394894
139	0.4843641024
140	0.4843467887
141	0.4843218633
