iter	Passed	Remaining
0	25	12552
1	58	14633
2	85	14210
3	119	14859
4	145	14423
5	170	14063
6	195	13770
7	219	13529
8	240	13143
9	265	13023
10	287	12783
11	311	12653
12	335	12563
13	362	12587
14	385	12474
15	408	12356
16	432	12298
17	455	12193
18	479	12126
19	503	12095
20	528	12050
21	552	12005
22	573	11884
23	599	11888
24	624	11868
25	648	11818
26	671	11769
27	694	11711
28	718	11670
29	739	11590
30	765	11575
31	786	11502
32	809	11454
33	831	11397
34	855	11368
35	880	11349
36	903	11311
37	926	11259
38	949	11220
39	973	11200
40	995	11143
41	1017	11093
42	1038	11036
43	1062	11010
44	1085	10972
45	1110	10961
46	1134	10935
47	1156	10893
48	1180	10861
49	1202	10818
50	1226	10797
51	1249	10761
52	1274	10748
53	1296	10709
54	1317	10658
55	1343	10650
56	1365	10608
57	1387	10571
58	1408	10526
59	1433	10514
60	1456	10479
61	1481	10464
62	1502	10420
63	1522	10368
64	1544	10332
65	1568	10313
66	1596	10316
67	1624	10318
68	1649	10305
69	1673	10277
70	1698	10265
71	1718	10212
72	1744	10206
73	1771	10199
74	1795	10174
75	1819	10153
76	1845	10136
77	1872	10131
78	1897	10111
79	1922	10090
80	1947	10074
81	1971	10050
82	1991	10007
83	2016	9985
84	2040	9964
85	2063	9935
86	2087	9908
87	2113	9894
88	2137	9871
89	2160	9843
90	2182	9807
91	2204	9776
92	2225	9741
93	2247	9708
94	2272	9686
95	2293	9651
96	2312	9609
97	2335	9581
98	2357	9550
99	2381	9525
100	2401	9487
101	2426	9468
102	2448	9436
103	2473	9420
104	2496	9391
105	2517	9358
106	2542	9338
107	2562	9302
108	2586	9276
109	2614	9270
110	2637	9241
111	2659	9212
112	2682	9188
113	2701	9148
114	2727	9130
115	2752	9111
116	2777	9091
117	2801	9070
118	2823	9040
119	2853	9035
120	2875	9005
121	2901	8990
122	2928	8974
123	2955	8960
124	2979	8938
125	3009	8931
126	3032	8907
127	3051	8869
128	3077	8851
129	3112	8857
130	3139	8842
131	3171	8842
132	3196	8821
133	3229	8820
134	3256	8803
135	3280	8780
136	3306	8761
137	3329	8734
138	3350	8702
139	3374	8677
140	3399	8655
141	3419	8622
142	3439	8587
143	3463	8562
144	3487	8537
145	3509	8508
146	3535	8488
147	3556	8459
148	3578	8430
149	3604	8410
150	3630	8391
151	3656	8371
152	3682	8350
153	3708	8331
154	3734	8313
155	3759	8289
156	3783	8266
157	3809	8245
158	3834	8223
159	3861	8205
160	3884	8178
161	3909	8156
162	3932	8130
163	3957	8107
164	3979	8080
165	4003	8055
166	4030	8037
167	4052	8009
168	4072	7976
169	4100	7959
170	4125	7937
171	4150	7914
172	4174	7890
173	4197	7864
174	4222	7841
175	4247	7818
176	4270	7792
177	4292	7764
178	4313	7734
179	4337	7710
180	4362	7688
181	4388	7667
182	4413	7644
183	4434	7615
184	4455	7586
185	4476	7557
186	4497	7527
187	4521	7502
188	4541	7473
189	4563	7445
190	4586	7419
191	4613	7400
192	4639	7379
193	4662	7355
194	4684	7327
195	4704	7297
196	4726	7269
197	4750	7245
198	4775	7222
199	4795	7193
200	4817	7166
201	4844	7147
202	4867	7121
203	4890	7095
204	4916	7075
205	4940	7050
206	4965	7027
207	4988	7003
208	5009	6975
209	5033	6950
210	5058	6928
211	5083	6905
212	5106	6880
213	5129	6855
214	5150	6827
215	5174	6803
216	5195	6775
217	5217	6749
218	5242	6726
219	5270	6707
220	5290	6679
221	5311	6651
222	5335	6627
223	5357	6601
224	5381	6576
225	5403	6551
226	5425	6524
227	5450	6502
228	5475	6479
229	5497	6454
230	5518	6426
231	5540	6400
232	5562	6374
233	5584	6348
234	5606	6322
235	5632	6300
236	5655	6276
237	5680	6253
238	5703	6228
239	5732	6210
240	5757	6187
241	5776	6158
242	5802	6136
243	5824	6111
244	5849	6088
245	5871	6061
246	5892	6035
247	5913	6009
248	5936	5984
249	5960	5960
250	5983	5935
251	6006	5911
252	6028	5885
253	6050	5859
254	6074	5836
255	6105	5819
256	6125	5792
257	6149	5767
258	6169	5740
259	6189	5713
260	6213	5689
261	6236	5665
262	6256	5637
263	6278	5612
264	6301	5588
265	6324	5563
266	6347	5538
267	6371	5515
268	6389	5487
269	6414	5464
270	6439	5441
271	6459	5414
272	6483	5391
273	6509	5369
274	6534	5346
275	6554	5319
276	6581	5298
277	6603	5272
278	6630	5251
279	6653	5227
280	6677	5204
281	6698	5178
282	6723	5155
283	6745	5130
284	6769	5106
285	6792	5082
286	6815	5057
287	6842	5037
288	6869	5015
289	6890	4989
290	6913	4965
291	6938	4942
292	6957	4915
293	6982	4892
294	7006	4869
295	7028	4844
296	7048	4817
297	7073	4794
298	7095	4769
299	7116	4744
300	7139	4720
301	7165	4697
302	7189	4674
303	7210	4648
304	7234	4625
305	7254	4599
306	7280	4576
307	7299	4550
308	7322	4526
309	7343	4500
310	7368	4478
311	7393	4455
312	7415	4430
313	7437	4405
314	7459	4380
315	7483	4357
316	7507	4333
317	7530	4310
318	7553	4286
319	7584	4266
320	7610	4243
321	7633	4219
322	7656	4195
323	7679	4171
324	7703	4148
325	7729	4125
326	7752	4101
327	7773	4076
328	7795	4051
329	7819	4028
330	7842	4004
331	7866	3980
332	7889	3956
333	7915	3933
334	7933	3907
335	7953	3881
336	7974	3857
337	7996	3832
338	8017	3807
339	8051	3788
340	8086	3770
341	8120	3751
342	8155	3732
343	8185	3712
344	8213	3690
345	8236	3665
346	8261	3642
347	8289	3620
348	8312	3596
349	8339	3574
350	8361	3549
351	8381	3524
352	8403	3499
353	8425	3475
354	8446	3450
355	8468	3425
356	8489	3400
357	8514	3377
358	8532	3351
359	8557	3327
360	8580	3303
361	8605	3280
362	8626	3255
363	8651	3232
364	8675	3208
365	8694	3183
366	8714	3158
367	8741	3135
368	8763	3111
369	8782	3085
370	8802	3060
371	8823	3036
372	8848	3012
373	8874	2989
374	8896	2965
375	8919	2941
376	8945	2918
377	8966	2893
378	8988	2869
379	9009	2844
380	9028	2819
381	9048	2795
382	9075	2772
383	9098	2748
384	9122	2724
385	9148	2702
386	9175	2679
387	9198	2655
388	9221	2631
389	9243	2607
390	9266	2583
391	9289	2559
392	9311	2535
393	9331	2510
394	9355	2486
395	9376	2462
396	9397	2438
397	9419	2413
398	9442	2390
399	9464	2366
400	9485	2341
401	9508	2317
402	9527	2293
403	9552	2269
404	9577	2246
405	9602	2223
406	9624	2199
407	9644	2174
408	9668	2151
409	9691	2127
410	9721	2105
411	9743	2081
412	9764	2056
413	9787	2033
414	9814	2010
415	9840	1987
416	9861	1962
417	9883	1938
418	9903	1914
419	9930	1891
420	9953	1867
421	9974	1843
422	9997	1819
423	10023	1796
424	10047	1773
425	10075	1750
426	10102	1727
427	10121	1702
428	10148	1679
429	10169	1655
430	10194	1632
431	10219	1608
432	10245	1585
433	10268	1561
434	10291	1537
435	10312	1513
436	10331	1489
437	10352	1465
438	10378	1442
439	10400	1418
440	10423	1394
441	10443	1370
442	10467	1346
443	10488	1322
444	10506	1298
445	10527	1274
446	10551	1251
447	10577	1227
448	10600	1204
449	10622	1180
450	10643	1156
451	10664	1132
452	10688	1109
453	10715	1085
454	10737	1061
455	10758	1038
456	10777	1014
457	10799	990
458	10826	967
459	10848	943
460	10869	919
461	10887	895
462	10908	871
463	10931	848
464	10954	824
465	10972	800
466	10995	776
467	11018	753
468	11039	729
469	11065	706
470	11089	682
471	11112	659
472	11137	635
473	11161	612
474	11182	588
475	11204	564
476	11224	541
477	11246	517
478	11271	494
479	11293	470
480	11315	446
481	11335	423
482	11356	399
483	11376	376
484	11399	352
485	11423	329
486	11444	305
487	11470	282
488	11495	258
489	11519	235
490	11544	211
491	11570	188
492	11595	164
493	11619	141
494	11642	117
495	11666	94
496	11687	70
497	11708	47
498	11730	23
499	11751	0
